0.132,Adam,Relu,10000,"64,16","single,triple",6,4,"A0:-5 dengue, population, average over rainfall, average over temperature",9,
0.13,Adam,Relu,10000,"16,64","quad,double,single",3,3,"A0:-4 dengue, population, average over rainfall, average over temperature",8,
0.133,Adam,Relu,10000,,,,,"A0:-4 dengue, population interpolated, average over rainfall, average over temperature",8,
0.134,Adam,Relu,10000,"16, 128","double,single",3,3,"A0:-3 dengue, population, average over temperature",7,
0.1355,Adam,Relu,10000,16,"triple,quint,double",3,3,"A0:-3 dengue, population, average over temperature. Training: Mean from T+7 to T+8",7,"Denoising the training label, t+7 to t+8"
0.136,Adam,Relu,10000,16,"triple,single",8,6,"A0:-4 dengue, population, average over temperature. Training: Mean from T+7 to T+8",8,"Denoising the training label, t+7 to t+8"
0.137,Adam,Relu,10000,"128,16,64","single,quad",6,4,"A0:-3 dengue, population, average over temperature. Training: Mean from T+6 to T+8",7,"Denoising the training label, t+6 to t+8"
0.14,Adam,Relu,10000,16,triple,2,4,"A0:-4 dengue, population, average over rainfall 0:-4, average over temperature 0:-2",16,It seems that taking a window over temperature and rainfall is not too useful (or at least the raw window by itself)
0.1362,Adam,Relu,10000,16,double,2,4,"A0:-4 dengue, population, average over rainfall 0:-3, average over temperature 0:-1",14,
0.13,Adam,Relu,10000,"16,32","quint,double",3,3,"A0:-4 dengue, population, average over rainfall 0:-2, average over temperature 0:-2",12,Not too different from non-interpolated version
0.131,Adam,Relu,10000,"128,32",single,3,4,"A0:-4 dengue, population, average over rainfall 0:-1, average over temperature 0:-1",10,
0.16,SGD,Relu,10000,64,double,8,6,"A0:-4 dengue, everthing else",52,
0.15,Adam,Relu,10000,8,double,8,7,"A0:-4 dengue, all population sizes (even with mean temperature and rainfall)",20,
0.135,Adam,Relu,10000,32,triple,0,2,"A0:-4 degue, all temperature",21,A fluke it seems. Next smallest was 0.157
0.155,Adam,Relu,10000,16,double,0,2,"A0:-4 dengue, all rainfall, temperature average, population average",23,
0.128,Adam,Relu,10000,16,quint,3,3,"A0:-4 dengue, all population, rainfall average, temperature average, population average",22,"This seems like a fluke, but not too rare a fluke either. There are several slightly above 0.13 Can remove tengah population. Looks better than without the individual populations"
0.133,Adam,Relu,10000,"16, 128",triple,3,4,"A0:-4 dengue, all population, rainfall average, temperature average, population average, admiralty rainfall",22,
0.135,Adam,Relu,10000,"64,16",single,3,4,"A0:-4 dengue, rainfall average, temperature average, population average, admiralty rainfall",9,
0.131,Adam,Relu,10000,16,quad,2,3,"A0:-4 dengue, all population, rainfall average, temperature average, population average, khatib seletar sembawang rainfall",22,
